datetime_utc,model,warmup_seconds,measured_seconds,questions
2026-03-21T16:35:43+00:00,deepseek-coder:latest,0,2,9
2026-03-21T16:39:13+00:00,deepseek-r1:8b,2,9,9
2026-03-21T16:42:18+00:00,gemma3:1b,0,3,9
2026-03-21T16:45:29+00:00,gemma3:4b,1,6,9
2026-03-21T16:48:45+00:00,llama3.1:latest,1,6,9
2026-03-21T16:51:51+00:00,llama3.2:latest,0,3,9
2026-03-21T16:54:59+00:00,llava-phi3:latest,1,4,9
2026-03-21T18:13:00+00:00,llava:latest,1,7,9
2026-03-21T18:16:15+00:00,mistral:latest,1,7,9
2026-03-21T18:19:19+00:00,moondream:latest,0,1,9
2026-03-21T18:25:25+00:00,phi3:latest,0,4,9
2026-03-21T18:28:41+00:00,Qwen2.5-coder:latest,1,7,9
2026-03-21T18:31:50+00:00,qwen3:4b,1,6,9
2026-03-21T18:35:02+00:00,qwen3:latest,1,5,9
2026-03-21T21:02:36+00:00,deepseek-coder:latest,0,2,9
2026-03-21T21:06:26+00:00,deepseek-r1:8b,4,24,9
2026-03-21T21:09:31+00:00,gemma3:1b,0,3,9
2026-03-21T21:12:41+00:00,gemma3:4b,1,6,9
2026-03-21T21:15:58+00:00,llama3.1:latest,1,6,9
2026-03-21T21:19:04+00:00,llama3.2:latest,0,3,9
2026-03-21T21:22:11+00:00,llava-phi3:latest,1,4,9
2026-03-21T21:25:24+00:00,llava:latest,1,7,9
2026-03-21T21:28:37+00:00,mistral:latest,1,7,9
2026-03-21T21:31:40+00:00,moondream:latest,0,1,9
2026-03-21T21:37:47+00:00,phi3:latest,0,3,9
2026-03-21T21:41:03+00:00,Qwen2.5-coder:latest,1,7,9
2026-03-21T21:44:12+00:00,qwen3:4b,1,6,9
2026-03-21T21:47:25+00:00,qwen3:latest,2,4,9
